"X33333","X66667","X1e.05"
"797",454,85,521
"798",424,193,85
"799",471,799,193
"800",675,681,799
"801",445,848,681
"802",775,314,848
"803",347,501,314
"804",259,621,501
"805",877,554,621
"806",370,214,554
"807",836,404,214
"808",243,234,404
"809",468,791,234
"810",368,948,791
"811",702,63,948
"812",718,686,63
"813",435,317,686
"814",832,595,317
"815",311,247,595
"816",64,623,247
"817",609,354,623
"818",590,282,354
"819",228,869,282
"820",551,898,869
"821",780,580,898
"822",109,200,580
"823",181,895,200
"824",689,706,895
"825",286,707,706
"826",209,199,707
"827",135,777,199
"828",195,224,777
"829",821,685,224
"830",854,600,600
"831",0,700,685
"832",292,372,700
"833",542,714,372
"834",175,861,714
"835",112,545,861
"836",842,93,545
"837",934,120,93
"838",342,101,120
"839",656,158,101
"840",177,117,158
"841",767,734,117
"842",866,36,734
"843",21,227,36
"844",528,829,227
"845",437,933,829
"846",738,572,933
"847",459,937,572
"848",398,41,937
"849",250,294,41
"850",379,750,906
"851",138,906,750
"852",952,185,294
"853",392,766,74
"854",883,563,827
"855",418,660,180
"856",809,465,795
"857",771,89,633
"858",7,694,331
"859",900,22,142
"860",306,189,607
"861",76,438,794
"862",949,217,769
"863",5,691,362
"864",592,319,492
"865",907,786,72
"866",781,407,606
"867",755,813,114
"868",124,627,352
"869",452,539,156
"870",245,192,955
"871",880,503,954
"872",852,847,323
"873",466,289,188
"874",804,818,410
"875",397,865,549
"876",652,316,916
"877",380,651,596
"878",479,859,859
"879",178,827,651
"880",923,180,316
"881",280,795,865
"882",482,633,818
"883",530,331,289
"884",99,142,847
"885",133,607,503
"886",13,769,192
"887",687,362,539
"888",746,492,627
"889",743,72,813
"890",668,606,407
"891",733,114,786
"892",387,352,319
"893",617,156,691
"894",165,955,694
"895",304,954,22
"896",157,323,189
"897",389,188,438
"898",608,410,217
"899",944,549,89
"900",299,916,465
"901",936,596,660
"902",388,794,563
"903",226,74,766
"904",359,358,185
"905",805,107,358
"906",589,579,107
"907",236,715,96
"908",672,405,405
"909",254,96,715
"910",284,764,579
"911",761,300,764
"912",513,374,300
"913",462,161,374
"914",802,215,161
"915",839,862,215
"916",169,739,862
"917",544,716,739
"918",858,141,716
"919",425,587,141
"920",874,671,587
"921",264,647,671
"922",576,680,647
"923",649,427,680
"924",134,642,427
"925",328,424,642
"926",159,454,424
"927",735,78,454
"928",330,709,78
"929",894,712,709
"930",393,758,758
"931",12,928,712
"932",210,69,928
"933",601,669,69
"934",53,543,669
"935",343,230,543
"936",356,355,230
"937",402,290,355
"938",208,252,290
"939",665,546,252
"940",238,433,546
"941",659,483,433
"942",673,882,483
"943",688,278,882
"944",690,541,278
"945",113,958,541
"946",830,20,958
"947",568,288,20
"948",770,11,288
"949",301,741,11
"950",419,191,741
"951",119,31,191
"952",31,548,31
"953",548,119,548
"954",191,419,119
"955",741,690,419
"956",11,113,690
"957",288,301,113
"958",20,830,301
"959",958,770,830
"960",541,568,770
